symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2021-05-12 00:00:00+00:00,122.77,124.64,122.25,123.4,112172282,120.020427,121.8485462,119.5120729,120.6363174,112172282,0,1
AAPL,2021-05-13 00:00:00+00:00,124.97,126.15,124.26,124.58,105861339,122.1711555,123.324728,121.4770567,121.78989,105861339,0,1
AAPL,2021-05-14 00:00:00+00:00,127.45,127.89,125.85,126.25,81917951,124.5956131,125.0257588,123.0314469,123.4224884,81917951,0,1
AAPL,2021-05-17 00:00:00+00:00,126.27,126.93,125.17,126.82,74244624,123.4420405,124.087259,122.3666762,123.9797226,74244624,0,1
AAPL,2021-05-18 00:00:00+00:00,124.85,126.99,124.78,126.56,63342929,122.053843,124.1459153,121.9854107,123.7255456,63342929,0,1
AAPL,2021-05-19 00:00:00+00:00,124.69,124.915,122.86,123.16,92611989,121.8974264,122.1173873,120.1084113,120.4016925,92611989,0,1
AAPL,2021-05-20 00:00:00+00:00,127.31,127.72,125.1,125.23,76857123,124.4587485,124.8595661,122.298244,122.4253325,76857123,0,1
AAPL,2021-05-21 00:00:00+00:00,125.43,128,125.21,127.82,79295436,122.6208532,125.1332952,122.4057804,124.9573265,79295436,0,1
AAPL,2021-05-24 00:00:00+00:00,127.1,127.94,125.94,126.01,63092945,124.2534517,125.074639,123.1194312,123.1878635,63092945,0,1
AAPL,2021-05-25 00:00:00+00:00,126.9,128.32,126.32,127.82,72009482,124.0579309,125.4461284,123.4909207,124.9573265,72009482,0,1
AAPL,2021-05-26 00:00:00+00:00,126.85,127.39,126.42,126.955,56575920,124.0090507,124.5369568,123.5886811,124.1116991,56575920,0,1
AAPL,2021-05-27 00:00:00+00:00,125.28,127.64,125.08,126.44,94625601,122.4742127,124.7813578,122.2786919,123.6082332,94625601,0,1
AAPL,2021-05-28 00:00:00+00:00,124.61,125.8,124.55,125.57,71311109,121.8192181,122.9825667,121.7605618,122.7577178,71311109,0,1
AAPL,2021-06-01 00:00:00+00:00,124.28,125.35,123.94,125.08,67637118,121.4966088,122.5426449,121.1642235,122.2786919,67637118,0,1
AAPL,2021-06-02 00:00:00+00:00,125.06,125.24,124.05,124.28,59278862,122.2591398,122.4351085,121.2717599,121.4966088,59278862,0,1
AAPL,2021-06-03 00:00:00+00:00,123.54,124.85,123.13,124.68,76229170,120.7731819,122.053843,120.3723643,121.8876503,76229170,0,1
AAPL,2021-06-04 00:00:00+00:00,125.89,126.16,123.85,124.07,75169343,123.070551,123.3345041,121.0762391,121.291312,75169343,0,1
AAPL,2021-06-07 00:00:00+00:00,125.9,126.32,124.8321,126.17,71057550,123.0803271,123.4909207,122.0363439,123.3442801,71057550,0,1
AAPL,2021-06-08 00:00:00+00:00,126.74,128.46,126.2101,126.6,74403774,123.9015143,125.582993,123.383482,123.7646498,74403774,0,1
AAPL,2021-06-09 00:00:00+00:00,127.13,127.75,126.52,127.21,56877937,124.2827798,124.8888942,123.6864415,124.3609881,56877937,0,1
AAPL,2021-06-10 00:00:00+00:00,126.11,128.19,125.94,127.02,71186421,123.2856239,125.3190399,123.1194312,124.1752434,71186421,0,1
AAPL,2021-06-11 00:00:00+00:00,127.35,127.44,126.1,126.53,53522373,124.4978527,124.585837,123.2758478,123.6962175,53522373,0,1
AAPL,2021-06-14 00:00:00+00:00,130.48,130.54,127.07,127.82,96906490,127.5577528,127.616409,124.2241236,124.9573265,96906490,0,1
AAPL,2021-06-15 00:00:00+00:00,129.64,130.6,129.39,129.94,62746332,126.7365655,127.6750652,126.4921646,127.0298467,62746332,0,1
AAPL,2021-06-16 00:00:00+00:00,130.15,130.89,128.461,130.37,91339351,127.2351435,127.9585704,125.5839706,127.4502164,91339351,0,1
AAPL,2021-06-17 00:00:00+00:00,131.79,132.55,129.65,129.8,96721669,128.8384138,129.5813928,126.7463416,126.8929821,96721669,0,1
AAPL,2021-06-18 00:00:00+00:00,130.46,131.51,130.24,130.71,108953309,127.5382007,128.5646848,127.3231279,127.7826017,108953309,0,1
AAPL,2021-06-21 00:00:00+00:00,132.3,132.41,129.21,130.3,79663316,129.3369918,129.4445282,126.3161959,127.3817841,79663316,0,1
AAPL,2021-06-22 00:00:00+00:00,133.98,134.08,131.62,132.13,74783618,130.9793663,131.0771267,128.6722212,129.1707992,74783618,0,1
AAPL,2021-06-23 00:00:00+00:00,133.7,134.32,133.23,133.77,60214200,130.7056372,131.3117516,130.2461634,130.7740695,60214200,0,1
AAPL,2021-06-24 00:00:00+00:00,133.41,134.64,132.93,134.45,68710998,130.4221321,131.6245849,129.9528823,131.4388401,68710998,0,1
AAPL,2021-06-25 00:00:00+00:00,133.11,133.89,132.81,133.46,70783746,130.128851,130.891382,129.8355698,130.4710123,70783746,0,1
AAPL,2021-06-28 00:00:00+00:00,134.78,135.245,133.35,133.41,62111303,131.7614494,132.2160352,130.3634759,130.4221321,62111303,0,1
AAPL,2021-06-29 00:00:00+00:00,136.33,136.49,134.35,134.8,64556081,133.2767354,133.433152,131.3410798,131.7810015,64556081,0,1
